path,bytes,words,title,h1,description,canonical,refresh,in_sitemap
kudy-zdaty-napivfabrykatyv.html,4222,144,Куди здати напівфабрикати — Довідник YOURECO,Куди здати напівфабрикати,"Практичний гайд про те, куди здати напівфабрикати, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-napivfabrykatyv.html,0; url=/utylizaciya-napivfabrykatyv.html,no
kudy-zdaty-napoyiv.html,4008,138,Куди здати напої — Довідник YOURECO,Куди здати напої,"Практичний гайд про те, куди здати напої, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-napoyiv.html,0; url=/utylizaciya-napoyiv.html,no
kudy-zdaty-nekondicijnoyi-sirovini.html,4354,142,Куди здати некондиційну сировину — Довідник YOURECO,Куди здати некондиційну сировину,"Практичний гайд про те, куди здати некондиційну сировину, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-nekondicijnoyi-sirovini.html,0; url=/utylizaciya-nekondicijnoyi-sirovini.html,no
kudy-zdaty-nekondyciynoyi-produkciyi.html,4385,144,Куди здати некондиційну продукцію — Довідник YOURECO,Куди здати некондиційну продукцію,"Практичний гайд про те, куди здати некондиційну продукцію, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-nekondyciynoyi-produkciyi.html,0; url=/utylizaciya-nekondyciynoyi-produkciyi.html,no
kudy-zdaty-obladnannya.html,4095,134,Куди здати обладнання — Довідник YOURECO,Куди здати обладнання,"Практичний гайд про те, куди здати обладнання, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-obladnannya.html,0; url=/utylizaciya-obladnannya.html,no
kudy-zdaty-odyagu-vzuttya.html,4192,157,Куди здати одяг та взуття — Довідник YOURECO,Куди здати одяг та взуття,"Практичний гайд про те, куди здати одяг та взуття, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-odyagu-vzuttya.html,0; url=/utylizaciya-odyagu-vzuttya.html,no
kudy-zdaty-ofisnih-mebliv-orgtehniki.html,4482,152,Куди здати офісні меблі та оргтехніку — Довідник YOURECO,Куди здати офісні меблі та оргтехніку,"Практичний гайд про те, куди здати офісні меблі та оргтехніку, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-ofisnih-mebliv-orgtehniki.html,0; url=/utylizaciya-ofisnih-mebliv-orgtehniki.html,no
kudy-zdaty-ovochiv.html,3947,133,Куди здати овочі — Довідник YOURECO,Куди здати овочі,"Практичний гайд про те, куди здати овочі, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-ovochiv.html,0; url=/utylizaciya-ovochiv.html,no
kudy-zdaty-paperu-ta-kartonu.html,4169,149,Куди здати папір та картон — Довідник YOURECO,Куди здати папір та картон,"Практичний гайд про те, куди здати папір та картон, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-paperu-ta-kartonu.html,0; url=/utylizaciya-paperu-ta-kartonu.html,no
kudy-zdaty-parfumeriyi.html,4054,137,Куди здати парфумерію — Довідник YOURECO,Куди здати парфумерію,"Практичний гайд про те, куди здати парфумерію, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-parfumeriyi.html,0; url=/utylizaciya-parfumeriyi.html,no
kudy-zdaty-partiyi-produktiv.html,4212,140,Куди здати партії продуктів — Довідник YOURECO,Куди здати партії продуктів,"Практичний гайд про те, куди здати партії продуктів, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-partiyi-produktiv.html,0; url=/utylizaciya-partiyi-produktiv.html,no
kudy-zdaty-paverbankiv-dbj.html,4514,153,Куди здати павербанки та ДБЖ — Довідник YOURECO,Куди здати павербанки та ДБЖ,"Практичний гайд про те, куди здати павербанки та ДБЖ, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-paverbankiv-dbj.html,0; url=/utylizaciya-paverbankiv-dbj.html,no
kudy-zdaty-plastyku-ta-polimeriv.html,4253,147,Куди здати пластик та полімери — Довідник YOURECO,Куди здати пластик та полімери,"Практичний гайд про те, куди здати пластик та полімери, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-plastyku-ta-polimeriv.html,0; url=/utylizaciya-plastyku-ta-polimeriv.html,no
kudy-zdaty-produktiv-harchuvannya-napoyiv.html,4414,147,Куди здати продукти харчування та напої — Довідник YOURECO,Куди здати продукти харчування та напої,"Практичний гайд про те, куди здати продукти харчування та напої, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-produktiv-harchuvannya-napoyiv.html,0; url=/utylizaciya-produktiv-harchuvannya-napoyiv.html,no
kudy-zdaty-produktiv-na-skladi.html,4160,137,Куди здати продукти на складі — Довідник YOURECO,Куди здати продукти на складі,"Практичний гайд про те, куди здати продукти на складі, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-produktiv-na-skladi.html,0; url=/utylizaciya-produktiv-na-skladi.html,no
kudy-zdaty-promyslovogo-obladnannya-mehanizmiv.html,4579,150,Куди здати промислове обладнання та механізми — Довідник YOURECO,Куди здати промислове обладнання та механізми,"Практичний гайд про те, куди здати промислове обладнання та механізми, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-promyslovogo-obladnannya-mehanizmiv.html,0; url=/utylizaciya-promyslovogo-obladnannya-mehanizmiv.html,no
kudy-zdaty-promyslovyh-vidhodiv.html,4313,149,Куди здати промислові відходи — Довідник YOURECO,Куди здати промислові відходи,"Практичний гайд про те, куди здати промислові відходи, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-promyslovyh-vidhodiv.html,0; url=/utylizaciya-promyslovyh-vidhodiv.html,no
kudy-zdaty-prostrochenoyi-kosmetyky.html,4363,153,Куди здати прострочену косметику — Довідник YOURECO,Куди здати прострочену косметику,"Практичний гайд про те, куди здати прострочену косметику, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-prostrochenoyi-kosmetyky.html,0; url=/utylizaciya-prostrochenoyi-kosmetyky.html,no
kudy-zdaty-prostrochenyh-produktiv.html,4330,151,Куди здати прострочені продукти — Довідник YOURECO,Куди здати прострочені продукти,"Практичний гайд про те, куди здати прострочені продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-prostrochenyh-produktiv.html,0; url=/utylizaciya-prostrochenyh-produktiv.html,no
kudy-zdaty-pyva.html,4005,149,Куди здати пиво — Довідник YOURECO,Куди здати пиво,"Практичний гайд про те, куди здати пиво, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-pyva.html,0; url=/utylizaciya-pyva.html,no
kudy-zdaty-rybnyh-produktiv.html,4224,148,Куди здати рибні продукти — Довідник YOURECO,Куди здати рибні продукти,"Практичний гайд про те, куди здати рибні продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-rybnyh-produktiv.html,0; url=/utylizaciya-rybnyh-produktiv.html,no
kudy-zdaty-shin.html,4100,149,Редирект: куди здати шин | YOURECO,Перенаправлення із застарілої адреси,Службова сторінка для варіанта адреси «kudy-zdaty-shin» перенаправляє на матеріал про утилізацію шин.,https://guide.youreco.com.ua/utylizaciya-shyn.html,0; url=/utylizaciya-shyn.html,no
kudy-zdaty-shyn-pidpryyemstvamy.html,4179,145,Куди підприємствам здати шини — Довідник YOURECO,Куди підприємствам здати шини,"Практичний гайд про те, куди підприємствам здати шини, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-shyn-pidpryyemstvamy.html,0; url=/utylizaciya-shyn-pidpryyemstvamy.html,no
kudy-zdaty-shyn.html,4071,146,Редирект: куди здати шини | YOURECO,Перенаправлення із застарілої адреси,Службова сторінка для варіанта адреси «kudy-zdaty-shyn» перенаправляє на матеріал про утилізацію шин.,https://guide.youreco.com.ua/utylizaciya-shyn.html,0; url=/utylizaciya-shyn.html,no
kudy-zdaty-shyny.html,4078,148,Редирект: утилізація шин | YOURECO,Перенаправлення із застарілої адреси,Службова сторінка для варіанта адреси «kudy-zdaty-shyny» перенаправляє на матеріал про утилізацію шин.,https://guide.youreco.com.ua/utylizaciya-shyn.html,0; url=/utylizaciya-shyn.html,no
kudy-zdaty-skla.html,4001,151,Куди здати скло — Довідник YOURECO,Куди здати скло,"Практичний гайд про те, куди здати скло, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-skla.html,0; url=/utylizaciya-skla.html,no
kudy-zdaty-skladskyh-zalyshkiv-kosmetyky.html,4439,149,Куди здати складські залишки косметики — Довідник YOURECO,Куди здати складські залишки косметики,"Практичний гайд про те, куди здати складські залишки косметики, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-skladskyh-zalyshkiv-kosmetyky.html,0; url=/utylizaciya-skladskyh-zalyshkiv-kosmetyky.html,no
kudy-zdaty-skladskyh-zalyshkiv.html,4223,149,Куди здати складські залишки — Довідник YOURECO,Куди здати складські залишки,"Практичний гайд про те, куди здати складські залишки, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-skladskyh-zalyshkiv.html,0; url=/utylizaciya-skladskyh-zalyshkiv.html,no
kudy-zdaty-sokiv-ta-napoyiv.html,4183,156,Куди здати соки та напої — Довідник YOURECO,Куди здати соки та напої,"Практичний гайд про те, куди здати соки та напої, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-sokiv-ta-napoyiv.html,0; url=/utylizaciya-sokiv-ta-napoyiv.html,no
kudy-zdaty-sokiv.html,3995,147,Куди здати соки — Довідник YOURECO,Куди здати соки,"Практичний гайд про те, куди здати соки, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-sokiv.html,0; url=/utylizaciya-sokiv.html,no
kudy-zdaty-sonyachnih-panelij-vitryakiv.html,4422,160,Куди здати сонячні панелі та вітряки — Довідник YOURECO,Куди здати сонячні панелі та вітряки,"Практичний гайд про те, куди здати сонячні панелі та вітряки, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-sonyachnih-panelij-vitryakiv.html,0; url=/utylizaciya-sonyachnih-panelij-vitryakiv.html,no
kudy-zdaty-tary-upakovki.html,4192,154,Куди здати тару та упаковку — Довідник YOURECO,Куди здати тару та упаковку,"Практичний гайд про те, куди здати тару та упаковку, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-tary-upakovki.html,0; url=/utylizaciya-tary-upakovki.html,no
kudy-zdaty-tovariv.html,4081,148,Куди здати товари — Довідник YOURECO,Куди здати товари,"Практичний гайд про те, куди здати товари, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-tovariv.html,0; url=/utylizaciya-tovariv.html,no
kudy-zdaty-tovary-pid-mitnim-kontrolem.html,4477,159,Куди здати товари під митним контролем — Довідник YOURECO,Куди здати товари під митним контролем,"Практичний гайд про те, куди здати товари під митним контролем, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-tovary-pid-mitnim-kontrolem.html,0; url=/utylizaciya-tovary-pid-mitnim-kontrolem.html,no
kudy-zdaty-upakovky-na-pidpryyemstvi.html,4441,162,Куди здати упаковку на підприємстві — Довідник YOURECO,Куди здати упаковку на підприємстві,"Практичний гайд про те, куди здати упаковку на підприємстві, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-upakovky-na-pidpryyemstvi.html,0; url=/utylizaciya-upakovky-na-pidpryyemstvi.html,no
kudy-zdaty-upakovky-vid-kosmetyky.html,4279,152,Куди здати упаковку від косметики — Довідник YOURECO,Куди здати упаковку від косметики,"Практичний гайд про те, куди здати упаковку від косметики, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-upakovky-vid-kosmetyky.html,0; url=/utylizaciya-upakovky-vid-kosmetyky.html,no
kudy-zdaty-vantazhnyh-shyn.html,4102,147,Куди здати вантажні шини — Довідник YOURECO,Куди здати вантажні шини,"Практичний гайд про те, куди здати вантажні шини, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-vantazhnyh-shyn.html,0; url=/utylizaciya-vantazhnyh-shyn.html,no
kudy-zdaty-vidpracovane-maslo.html,4308,155,Перенаправлення до утилізації оливи — YOURECO,Перенаправлення до утилізації оливи,Службова noindex-сторінка перенаправляє на основний матеріал про утилізацію відпрацьованої оливи для підприємств.,https://guide.youreco.com.ua/utylizaciya-vidpracovanoi-olyvy.html,0; url=/utylizaciya-vidpracovanoi-olyvy.html,no
kudy-zdaty-vidpracovanoi-olyvy.html,4305,161,Перенаправлення до сторінки про оливу — YOURECO,Перенаправлення до сторінки про оливу,Службова noindex-сторінка перенаправляє на канонічний довідник про збір та утилізацію відпрацьованої оливи.,https://guide.youreco.com.ua/utylizaciya-vidpracovanoi-olyvy.html,0; url=/utylizaciya-vidpracovanoi-olyvy.html,no
kudy-zdaty-vidpracovanyh-masel.html,4373,162,Куди здати відпрацьовані оливи — Довідник YOURECO,Куди здати відпрацьовані оливи,"Практичний гайд про те, куди здати відпрацьовані оливи, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-vidpracovanyh-masel.html,0; url=/utylizaciya-vidpracovanyh-masel.html,no
kudy-zdaty-vody.html,4083,159,Куди здати воду — Довідник YOURECO,Куди здати воду,"Практичний гайд про те, куди здати воду, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-vody.html,0; url=/utylizaciya-vody.html,no
kudy-zdaty-vyrobnychyh-vidhodiv.html,4351,158,Куди здати виробничі відходи — Довідник YOURECO,Куди здати виробничі відходи,"Практичний гайд про те, куди здати виробничі відходи, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-vyrobnychyh-vidhodiv.html,0; url=/utylizaciya-vyrobnychyh-vidhodiv.html,no
kudy-zdaty-yagid.html,4114,158,Куди здати ягоди — Довідник YOURECO,Куди здати ягоди,"Практичний гайд про те, куди здати ягоди, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-yagid.html,0; url=/utylizaciya-yagid.html,no
kudy-zdaty-zamorozhenyh-produktiv.html,4425,158,Куди здати заморожені продукти — Довідник YOURECO,Куди здати заморожені продукти,"Практичний гайд про те, куди здати заморожені продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-zamorozhenyh-produktiv.html,0; url=/utylizaciya-zamorozhenyh-produktiv.html,no
kudy-zdaty-zipsovanyh-produktiv.html,4411,162,Куди здати зіпсовані продукти — Довідник YOURECO,Куди здати зіпсовані продукти,"Практичний гайд про те, куди здати зіпсовані продукти, як підготувати передачу, які документи потрібні та на що звернути увагу.",https://guide.youreco.com.ua/utylizaciya-zipsovanyh-produktiv.html,0; url=/utylizaciya-zipsovanyh-produktiv.html,no
li-ion.html,7582,450,Літій-іонні батареї — редирект — Довідник YOURECO,Літій-іонні батареї — редирект,"Довідкова сторінка YOURECO про «Літій-іонні батареї — редирект»: пояснення, підготовка, документи, логістика та пов’язані матеріали.",https://guide.youreco.com.ua/utylizaciya-li-ion-batarej.html,0; url=/utylizaciya-li-ion-batarej.html,no
logistyka/index.html,10659,432,Матеріали про логістику відходів — Довідник YOURECO,Матеріали про логістику відходів,"Навігація за матеріалами про логістику відходів: збір, перевезення, маршрути, приймання партій і підготовку документів.",https://guide.youreco.com.ua/logistyka.html,,no
logistyka-budivelnyh-vidhodiv.html,14539,978,Логістика будівельних відходів — Довідник YOURECO,Логістика будівельних відходів,"Довідка для підприємств про «логістику будівельних відходів»: що включає, як підготувати партію, правила зберігання, логістика, документи та типові помилки.",https://guide.youreco.com.ua/logistyka-budivelnyh-vidhodiv.html,,no
logistyka-kabelyu.html,14267,978,Логістика кабелю — Довідник YOURECO,Логістика кабелю,"Гайд для бізнесу про «логістику кабелю»: що відноситься до кабельних відходів, як зберігати та передавати, як оформити документи і організувати логістику.",https://guide.youreco.com.ua/logistyka-kabelyu.html,,no
logistyka-paperu-ta-kartonu.html,10204,510,Логістика паперу та картону — Довідник YOURECO,Логістика паперу та картону,"Довідка для підприємств про «логістику паперу та картону»: що включає, як підготувати партію, правила зберігання, логістика, документи та типові помилки.",https://guide.youreco.com.ua/logistyka-paperu-ta-kartonu.html,,no
logistyka-plastyku.html,12664,803,Логістика пластику — Довідник YOURECO,Логістика пластику,"Гайд для підприємств про «логістику пластику»: види полімерів, сортування, зберігання, підготовка до переробки, логістика та підтверджуючі документи.",https://guide.youreco.com.ua/logistyka-plastyku.html,,no
logistyka-promyslovyh-vidhodiv.html,10972,525,Логістика промислових відходів | YOURECO,Логістика промислових відходів: вивезення і маршрути,"Логістика промислових відходів: як організувати збір, вивезення, маршрути передачі та документи для підприємства.",https://guide.youreco.com.ua/logistyka-promyslovyh-vidhodiv.html,,no
logistyka-shyn.html,10200,520,Логістика шин і порядок передання — Довідник YOURECO,Логістика шин і порядок передання,"Практичний гайд для бізнесу про «логістику шин і вивіз»: класифікація шин/гуми, зберігання, підготовка до вивезення, маршрути переробки та документи.",https://guide.youreco.com.ua/logistyka-shyn.html,,no
nebezpeka-vidpracovanogo-masla.html,10726,775,Небезпека відпрацьованої оливи — Довідник YOURECO,Небезпека відпрацьованої оливи,"Небезпека відпрацьованої оливи: основні ризики для підприємства, вимоги безпечного поводження та чому важлива легальна утилізація.",https://guide.youreco.com.ua/nebezpeka-vidpracovanogo-masla.html,,no
oblik-promyslovyh-vidhodiv.html,10572,527,Облік промислових відходів — Довідник YOURECO,Облік промислових відходів,"Довідка для підприємств про «облік промислових відходів»: що включає, як підготувати партію, правила зберігання, логістика, документи та типові помилки.",https://guide.youreco.com.ua/oblik-promyslovyh-vidhodiv.html,,no
optymizaciya-vidhodiv-na-vyrobnyctvi.html,10774,535,Оптимізація відходів на виробництві — Довідник YOURECO,Оптимізація відходів на виробництві,"Оптимізація відходів на виробництві: підготовка партій, зберігання, логістика, документи та типові помилки підприємств.",https://guide.youreco.com.ua/optymizaciya-vidhodiv-na-vyrobnyctvi.html,,no
pererobka/index.html,15296,450,Матеріали про переробку відходів — Довідник YOURECO,Матеріали про переробку відходів,"Навігація за матеріалами про переробку відходів: підготовка сировини, типи матеріалів, документи й передання партій.",https://guide.youreco.com.ua/pererobka.html,,no
